U,E_p,V,S,E_GS,Coh,E_p_bits
-6.0,0.010034080219439634,-4.0,0.23439378751754147,-36.57316440073653,0.25357129543515955,0.014476117772467934
-6.0,0.14072275135818368,-3.836734693877551,0.3137653484939217,-35.59206838413768,0.29467130015120546,0.20302001552470195
-6.0,0.00823605260128657,-3.673469387755102,0.2377581631861712,-34.65273328425537,0.2605933041706851,0.011882112244376852
-6.0,0.0033075419917039106,-3.510204081632653,0.23829428093409985,-33.6945457292862,0.2584924899872526,0.004771774428963482
-6.0,0.00786117542768583,-3.3469387755102042,0.24255820089679742,-32.738393948998635,0.269434952278388,0.011341278805080623
-6.0,0.00845007535225295,-3.183673469387755,0.24563839839328533,-31.783999414346585,0.2749000049400281,0.012190881805833609
-6.0,0.009120960992288651,-3.020408163265306,0.24906530770897167,-30.831777575188013,0.28071325976728595,0.013158765191716437
-6.0,0.009792742577932945,-2.857142857142857,0.2528564133711656,-29.882017034550106,0.28682645633731707,0.014127941153886159
-6.0,0.13276842562758517,-2.693877551020408,0.3146854303618444,-28.91383198873023,0.3122466277244847,0.19154434923955188
-6.0,0.012231775432687497,-2.5306122448979593,0.26211450942938697,-27.991296422496628,0.3009199297221704,0.017646721758005413
-6.0,0.013805918779695947,-2.36734693877551,0.26763695258603326,-27.05120375090671,0.30875126268349523,0.019917730558383084
-6.0,0.014641406713665317,-2.204081632653061,0.27346455901307837,-26.1153115195732,0.3160345859700281,0.021123084857443075
-6.0,0.018179039820985343,-2.0408163265306123,0.280993552671684,-25.184348758356336,0.3263950927492058,0.02622681059785892
-6.0,0.02119181822815963,-1.8775510204081634,0.2890539002637772,-24.259025754699273,0.3363486340227524,0.030573331065186338
-6.0,0.025011823860574545,-1.7142857142857142,0.29822723106260113,-23.34029401941135,0.34721716266753133,0.03608443424723928
-6.0,0.029810714345302802,-1.5510204081632653,0.3086386696768487,-22.42925773567174,0.3590667591981973,0.04300776975132603
-6.0,0.035979824194569465,-1.3877551020408163,0.32049105219007235,-21.527235929502403,0.37212688860672477,0.051907913937561556
-6.0,0.044033964024490446,-1.2244897959183674,0.33403032946783473,-20.63582091951696,0.38667820776843514,0.06352758152881499
-6.0,0.054871016006104556,-1.0612244897959184,0.3496904769349466,-19.75698572029868,0.4032450838598374,0.07916214268054667
-6.0,0.07015687255582992,-0.8979591836734694,0.3683727289498765,-18.893323723073756,0.4228023440191217,0.1012149721205744
-6.0,0.09344649194773025,-0.7346938775510204,0.39228287821132024,-18.048670106582104,0.4472894136519822,0.13481479052146117
-6.0,0.13262398148992727,-0.5714285714285714,0.4270853560865839,-17.22991615968458,0.480302031022854,0.1913359603984679
-6.0,0.20407844976371536,-0.40816326530612246,0.4870249748243273,-16.452786764404397,0.5267125792556511,0.2944229674264194
-6.0,0.31404509826406013,-0.24489795918367346,0.587335530551921,-15.757770724387612,0.5767394856561788,0.45307130588104716
-6.0,0.3810893777933475,-0.08163265306122448,0.662971695203845,-15.209596174615754,0.6107706588478996,0.5497957554779229
-6.0,0.38302267977293014,0.08163265306122448,0.6648563178558093,-14.803077763075216,0.6108951910318471,0.552584920656408
-6.0,0.36693805155096193,0.24489795918367346,0.6399799310015604,-14.478639491526245,0.5974795931587751,0.5293797072860311
-6.0,0.33826916298584986,0.40816326530612246,0.6031031183968234,-14.205809430654185,0.5778011790063802,0.4880192439253461
-6.0,0.2986569442024609,0.5714285714285714,0.5577744752122438,-13.974415040450495,0.5542099676231256,0.4308708923279423
-6.0,0.253774837600961,0.7346938775510204,0.5094565853031136,-13.779430142516187,0.5312068134187979,0.3661196997093086
-6.0,0.21005070272881077,0.8979591836734694,0.4638572555094522,-13.616071043652857,0.5082042253318738,0.3030391071620975
-6.0,0.17157946684653358,1.0612244897959184,0.42433114073278766,-13.47923658607869,0.48540382242678176,0.24753684593786662
-6.0,0.1397120299864114,1.2244897959183674,0.39173797077228745,-13.36405881283144,0.4641509722286512,0.20156185281392602
-6.0,0.11412064583763848,1.3877551020408163,0.3655203008779663,-13.266330568955697,0.44498709525935165,0.16464128981300652
-6.0,0.0938284308837396,1.5510204081632653,0.34462598563031877,-13.18262361198086,0.42797674715079775,0.13536581193036357
-6.0,0.07777810374101701,1.7142857142857142,0.3279833890130502,-13.110225408213342,0.41296452935567934,0.11221008455691273
-6.0,0.06502338064656299,1.8775510204081634,0.31465771136283677,-13.047015390725038,0.3997083221982144,0.09380890880063175
-6.0,0.05483405556326115,2.0408163265306123,0.3039178105495428,-12.99133759189064,0.38797306825811295,0.07910882003294661
