U,E_p,V,S,E_GS,Coh,E_p_bits
-6.0,6.15334738789386e-5,-4.0,0.026341788809082167,-50.40134738734528,0.07559313400230677,8.877403761342606e-5
-6.0,0.00038963486495346977,-3.8987341772151898,0.026959487659451203,-49.59545473935692,0.07652728059978146,0.0005621242874260801
-6.0,0.0015031083775596255,-3.7974683544303796,0.0277944862763634,-48.78965951419769,0.07748137474218753,0.002168527002223808
-6.0,0.06808729885494635,-3.6962025316455698,0.05949435753322949,-47.98393703473121,0.07745738189386281,0.09822920840555627
-6.0,0.09435591133206933,-3.5949367088607596,0.0765415737736042,-47.17834054722254,0.07798612330535312,0.13612680535733457
-6.0,0.004681510501675978,-3.4936708860759493,0.030536994807378814,-46.37292035726878,0.08076519363975175,0.006753991984637775
-6.0,0.006415580359883766,-3.392405063291139,0.03174108599553038,-45.56756491938504,0.08189645118684286,0.00925572596962887
-6.0,0.04111307390454155,-3.2911392405063293,0.04721645236414821,-44.762352989557186,0.08302609402015076,0.05931362783778393
-6.0,0.000256608679361392,-3.189873417721519,0.03141882764911227,-43.957210544128664,0.08416114722476425,0.0003702080691638798
-6.0,0.034045344326878446,-3.088607594936709,0.04515324560344195,-43.1521984023988,0.08468844012901056,0.04911704942574513
-6.0,0.00038969269855693156,-2.9873417721518987,0.032961223721745626,-42.3474031411132,0.08669171434957189,0.0005622077236786538
-6.0,0.01017061969318922,-2.8860759493670884,0.03670815893913393,-41.54273816083355,0.08816045733156058,0.014673102594132015
-6.0,0.0007600350939531708,-2.7848101265822787,0.03468751247220475,-40.73819402848516,0.08943621615116071,0.001096498860948092
-6.0,0.000574907696850202,-2.6835443037974684,0.0355250937328457,-39.93383280878398,0.09086373326459081,0.0008294164832149953
-6.0,0.0006143630280122103,-2.5822784810126582,0.03645412514448069,-39.12965074735945,0.09236752255023373,0.0008863384938186947
-6.0,0.0011668329370191355,-2.481012658227848,0.037543384874573614,-38.325664062474644,0.09398840569439414,0.0016833840917831466
-6.0,0.0324348738741318,-2.3797468354430378,0.050441484464235464,-37.521942772096466,0.09582529525790634,0.04679363169006878
-6.0,0.0011969796589912374,-2.278481012658228,0.03962755651906404,-36.718308607779726,0.09736337644158868,0.0017268766180711381
-6.0,0.0014620625480923355,-2.1772151898734178,0.04081513158903568,-35.91498085976904,0.09920198881926187,0.0021093103876022035
-6.0,0.008067123119579911,-2.0759493670886076,0.043917121351051004,-35.11194540561548,0.10130990902807806,0.011638398518858839
-6.0,0.001974450064421873,-1.9746835443037976,0.0433981496899696,-34.309127140268075,0.103199531063435,0.0028485293164242087
-6.0,0.0037894049955202735,-1.8734177215189873,0.04517790526299551,-33.50661884323191,0.10508334421579968,0.005466955794957151
-6.0,0.0432016286176613,-1.7721518987341771,0.06270510113535532,-32.704709227640244,0.10801148777047988,0.06232677536502651
-6.0,0.003979097456959346,-1.6708860759493671,0.04824877347562465,-31.902827590974287,0.11027526198049972,0.0057406241683692905
-6.0,0.005714119844648646,-1.5696202531645569,0.05041015980650709,-31.10157312552778,0.11306605898426317,0.008243732362919864
-6.0,0.004757607279364917,-1.4683544303797469,0.051962403517675206,-30.300791763532867,0.11587793934262706,0.006863776428436719
-6.0,0.012136677380710559,-1.3670886075949367,0.05626903061400407,-29.50076353653902,0.11951414576424953,0.017509524270020727
-6.0,0.010534599309250048,-1.2658227848101267,0.05795786098346604,-28.70134652522797,0.1230824755070495,0.015198214181207703
-6.0,0.011409209299506617,-1.1645569620253164,0.060752929968818,-27.902857739588022,0.12713089536252464,0.01646000967686234
-6.0,0.1442475508014336,-1.0632911392405062,0.13801196817536013,-27.1069071199672,0.13133592389916196,0.20810522620160743
-6.0,0.03649803635756399,-0.9620253164556962,0.07668095817182922,-26.31020000350282,0.1383385249652065,0.05265553605524298
-6.0,0.07059600520144249,-0.8607594936708861,0.09590185167933431,-25.514279379855402,0.13859105075069095,0.10184850661069245
-6.0,0.07183504820948028,-0.759493670886076,0.10259333973020719,-24.72685054216551,0.15469163393810867,0.1036360678138375
-6.0,0.2520750225413928,-0.6582278481012658,0.23664681636821336,-23.946482850549778,0.15913011085771187,0.363667384952441
-6.0,0.26575561766451594,-0.5569620253164557,0.25381209412872685,-23.172802175852244,0.17930154668484474,0.38340431169298084
-6.0,0.14227574984386981,-0.45569620253164556,0.17542146652751592,-22.404296175448977,0.21548796618698918,0.20526051873850992
-6.0,0.3517434887155564,-0.35443037974683544,0.362376193083976,-21.71687198311198,0.2822557741328742,0.507458586834916
-6.0,0.4316485927159235,-0.25316455696202533,0.4685207270254211,-21.13050267948074,0.3638087634928722,0.6227372841179628
-6.0,0.4890941279065806,-0.1518987341772152,0.5469544996330912,-20.69771047770921,0.3924858148713173,0.705613672858735
-6.0,0.5227627734874067,-0.05063291139240506,0.5895337154676107,-20.38562066990186,0.3884589347527749,0.754187260871642
-6.0,0.5270081738716308,0.05063291139240506,0.5878760302011219,-20.168254367884092,0.37976160442754514,0.7603120789525502
-6.0,0.5194656268928854,0.1518987341772152,0.5657876323836081,-20.017544953137964,0.37058098752754887,0.749430483830642
-6.0,0.5122338716527182,0.25316455696202533,0.5428827806412705,-19.907497083979642,0.3562737997909702,0.7389972664087296
-6.0,0.5071619685451565,0.35443037974683544,0.5237224684487788,-19.821819292178073,0.3417338886918222,0.7316800569475816
-6.0,0.5036522390473688,0.45569620253164556,0.508075085581297,-19.751532255173796,0.3283390377788014,0.7266165876062614
-6.0,0.5010863327854516,0.5569620253164557,0.4950793481205004,-19.69162997372881,0.3162898110714095,0.7229147673668073
-6.0,0.49908614511740446,0.6582278481012658,0.48403754961258977,-19.639167232893715,0.30548651642059177,0.720029106537269
-6.0,0.49743968520319903,0.759493670886076,0.474463807510588,-19.592304760551226,0.29595005325314044,0.7176537669840224
-6.0,0.4960259469856063,0.8607594936708861,0.46602204370036676,-19.54982926900584,0.28722817806757345,0.7156141738683863
-6.0,0.4947792030864666,0.9620253164556962,0.4584836967046157,-19.510901389787644,0.27920724821112164,0.7138155026278383
-6.0,0.49365561713226613,1.0632911392405062,0.4516782795584349,-19.474916341987075,0.2717904677393993,0.7121945107437018
-6.0,0.4926299820844813,1.1645569620253164,0.44548325212698486,-19.441423098566908,0.26489839712855445,0.7107148321465
-6.0,0.4916853098919489,1.2658227848101267,0.4398049830177075,-19.410075306689148,0.2584655118067655,0.7093519582590675
-6.0,0.4908095798847789,1.3670886075949367,0.43457042237033744,-19.38060030130369,0.2524375339157517,0.7080885469205658
-6.0,0.48999439710136583,1.4683544303797469,0.4297218615515837,-19.352778829112683,0.24676924419529464,0.7069124867615182
-6.0,0.48923315796215006,1.5696202531645569,0.4252123854772676,-19.326431357392863,0.24142258273740266,0.7058142508304406
-6.0,0.488520575654257,1.6708860759493671,0.4210033876014148,-19.30140856608699,0.23636529818608595,0.7047862118686181
-6.0,0.48785231904325377,1.7721518987341771,0.417062642349332,-19.277584577353597,0.23156978430585418,0.7038221213698828
-6.0,0.4872235140766987,1.8734177215189873,0.4133619253683938,-19.25485202488225,0.2270121806868149,0.702914947562947
-6.0,0.48663468288009737,1.9746835443037976,0.4098811632788865,-19.23311838993606,0.22267214856827933,0.7020654437156901
-6.0,0.4860792373438163,2.0759493670886076,0.40659712875561455,-19.212303228479925,0.2185313775907362,0.7012641051950128
-6.0,0.4855559609291191,2.1772151898734178,0.4034934985308101,-19.19233603839181,0.21457407919661048,0.7005091769065159
-6.0,0.4850621330945848,2.278481012658228,0.40055469260721394,-19.17315459409806,0.2107862411810897,0.6997967339385802
-6.0,0.4845943360340059,2.3797468354430378,0.39776609436265237,-19.154703628726587,0.20715525575361438,0.6991218454391404
-6.0,0.48415591058436513,2.481012658227848,0.39512036582763166,-19.136933778618708,0.20367051181803209,0.6984893312171438
-6.0,0.48373908519587827,2.5822784810126582,0.3926016828344756,-19.119800728014713,0.200321467572633,0.697887979296258
-6.0,0.483345825757969,2.6835443037974684,0.39020361705321477,-19.103264509667042,0.19709937621578777,0.6973206258554039
-6.0,0.48297361987021237,2.7848101265822787,0.38791674004018534,-19.087288926801588,0.19399604273780832,0.696783646266947
-6.0,0.4826196851789528,2.8860759493670884,0.38573225011652634,-19.071841072001146,0.19100405708582782,0.6962730264430679
-6.0,0.4822835496007585,2.9873417721518987,0.3836438513187246,-19.056890923116484,0.1881168271138543,0.6957880853113405
-6.0,0.48196505128379474,3.088607594936709,0.3816460407332216,-19.042411001914147,0.18532806239730387,0.6953285893689252
-6.0,0.4816605600622985,3.189873417721519,0.37973103656414375,-19.028376083374326,0.18263227136200214,0.6948893013936788
-6.0,0.46352633822133305,3.2911392405063293,0.36523867443811114,-19.01115207226376,0.1788858063455311,0.6687271494733373
-6.0,0.48110086740371294,3.392405063291139,0.3761377202950902,-19.00155016138398,0.1774992320927437,0.694081835570715
-6.0,0.48084086114448477,3.4936708860759493,0.37444762823565475,-18.988717901574073,0.17505268051977552,0.6937067258299274
-6.0,0.4806073240566229,3.5949367088607596,0.3728327233615773,-18.976247713076756,0.17267943186114817,0.693369803031405
-6.0,0.4803563030671323,3.6962025316455698,0.37126104739223725,-18.964122731655326,0.17038039277536984,0.6930076562947072
-6.0,0.4801288170427034,3.7974683544303796,0.3697557883238775,-18.952326841151997,0.16814681605952522,0.6926794633353928
-6.0,0.4799132081251618,3.8987341772151898,0.3683069616648618,-18.940845282192015,0.16597707351221516,0.6923684054192836
-6.0,0.47931179075785035,4.0,0.36659146197330933,-18.929658517280085,0.16386178693164694,0.691500743565959
-5.848101265822785,6.09501381161337e-5,-4.0,0.02713034744191049,-49.95178674906053,0.07686488248806213,8.793246200156091e-5
-5.848101265822785,0.14863097265285452,-3.8987341772151898,0.1152213038296439,-49.146077314774516,0.0767766160316142,0.21442916716877658
-5.848101265822785,9.355637124897065e-5,-3.7974683544303796,0.02831589252898753,-48.34036686103758,0.07887626278874102,0.00013497331284462177
-5.848101265822785,0.06637113746282575,-3.6962025316455698,0.059330221894908886,-47.53485002874732,0.07982178295865666,0.09575331087577821
-5.848101265822785,0.09047409831860032,-3.5949367088607596,0.07485127804461546,-46.72942057172345,0.08069359855835563,0.13052653297314531
-5.848101265822785,0.00030568544072950843,-3.4936708860759493,0.030289202294677336,-45.92404997234672,0.08214609973927581,0.00044101086941239487
-5.848101265822785,0.07298743876281932,-3.392405063291139,0.06512645841166886,-45.118796866781146,0.08193183572907244,0.1052986159503062
-5.848101265822785,0.22563693213787772,-3.2911392405063293,0.1851843861485423,-44.31365758423555,0.07829651368424509,0.3255252830367157
-5.848101265822785,0.000266990064604844,-3.189873417721519,0.0324449211627826,-43.50882833241131,0.08573854584021114,0.00038518524217234784
-5.848101265822785,0.000298669071486124,-3.088607594936709,0.033228832405000575,-42.7040267183455,0.08701892642554233,0.00043088838830041
-5.848101265822785,0.10007009178483584,-2.9873417721518987,0.0852471997314797,-41.89945688443251,0.08790992681483786,0.144370625159286
-5.848101265822785,0.05095988402760354,-2.8860759493670884,0.056344515810769345,-41.09493512625956,0.08978728946171222,0.07351957197090009
-5.848101265822785,0.00045771880609679627,-2.7848101265822787,0.035800650807345215,-40.29054147843368,0.09115422052632387,0.0006603486516771895
-5.848101265822785,0.020757711882945618,-2.6835443037974684,0.043669345894129706,-39.48634445870572,0.09210215641607211,0.02994704799372716
-5.848101265822785,0.03638831876507709,-2.5822784810126582,0.05163438434941203,-38.68248354691993,0.09441607240285646,0.0524972470286631
