m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,S,m_cdw,coh_2rdm,Q_2,U
8.735914253489074e-11,-4.0,-144.80552635434543,0.00169526562815836,0.0011750685904585723,0.0,0.021017809851595966,1.4662616978217136e-7,0.0,0.0,-6.0
1.3494653779649929e-8,-3.919191919191919,-141.91314206276311,0.03412587505476283,0.02365425407834998,0.0,0.04172237108633313,7.105020683094432e-6,0.0,0.0,-5.878787878787879
2.463015236380388e-10,-3.8383838383838382,-139.021776240308,0.05235018792687107,0.036286385163293744,0.0,0.029177078563636848,0.00011287777704124813,0.0,0.0,-5.757575757575758
8.076969760251443e-18,-3.757575757575758,-150.73219253484032,5.1464081739283074e-5,3.567218315803089e-5,0.0,0.011293645102837445,2.8198354484754162e-9,0.0,0.0,-5.636363636363637
3.0178605837160575e-9,-3.676767676767677,-133.2393201915362,0.020171951400840715,0.01398213123988512,0.0,0.023632266651594284,0.00012156591441599834,0.0,0.0,-5.515151515151516
4.169099933628769e-9,-3.595959595959596,-130.35216720046137,0.00869673343920807,0.006028116263468775,0.0,0.03144710863054675,2.0663230800632704e-5,0.0,0.0,-5.393939393939394
5.559168148643381e-9,-3.515151515151515,-127.46407950311988,0.0005133279246529732,0.00035581180367616483,0.0,0.025822702391776413,1.8202808926885694e-5,0.0,0.0,-5.2727272727272725
1.7631547644054028e-10,-3.4343434343434343,-124.57693190022869,0.0001375965959025116,9.537469250453512e-5,0.0,0.027030209106620497,2.7046414066700386e-9,0.0,0.0,-5.151515151515151
8.831420614753266e-14,-3.3535353535353534,-134.62327381692782,8.125609961595615e-5,5.6322436351230465e-5,0.0,0.014168991681286748,7.1394861897444706e-9,0.0,0.0,-5.03030303030303
6.916366028955991e-11,-3.272727272727273,-118.8061616114579,0.006559032151882249,0.004546374643279005,0.0,0.030469647740648906,1.2307926003027325e-6,0.0,0.0,-4.909090909090909
5.0441192453841844e-12,-3.191919191919192,-115.92263525074526,0.00017373112467566898,0.00012042123924471682,0.0,0.03126943486063733,2.25172751278091e-9,0.0,0.0,-4.787878787878788
8.31103261870359e-18,-3.111111111111111,-124.9647117636124,0.00011007690834929917,7.629949866716501e-5,0.0,0.01645481439264987,1.3212678375007503e-8,0.0,0.0,-4.666666666666667
2.551123687190131e-9,-3.0303030303030303,-110.1566594938084,0.042376759881805004,0.029373331633339328,0.0,0.03572493092313314,0.2310763125240274,0.0,0.0,-4.545454545454546
