U,V,magnetization,charge_density
-6.0,-4.0,"0.010681864579266868, 0.4730050716003589, 0.03071009874112962, 0.4765177289891621, 0.009085236090082192","0.0227609240712167, 1.4983442432043632, 1.9685208449884901, 1.4905318449357838, 0.019842142800147088"
-6.0,-3.836734693877551,"0.010370726981593994, 0.42141083635366566, 0.07103045008617603, 0.40110336407789526, 0.09608462250067022","0.02142287508063832, 1.2864086013356943, 1.9223215950626622, 1.5677111857246113, 0.20213574279639807"
-6.0,-3.673469387755102,"0.011039883630562153, 0.4706362028251678, 0.03552526688680746, 0.4723106914072701, 0.010487955250192218","0.023199009274147135, 1.4971099333769278, 1.9636476524982278, 1.4939061279729124, 0.022137276877783097"
-6.0,-3.510204081632653,"0.010416247765399823, 0.4717076457195677, 0.03811429596949356, 0.4693240130129027, 0.010437797532636323","0.022076012124984216, 1.4961191126266977, 1.9612147909364404, 1.4984840335855791, 0.022106050726297587"
-6.0,-3.3469387755102042,"0.01226738371012578, 0.46678425239013066, 0.041809109648732634, 0.46687871623067145, 0.012260538020339093","0.024984753135383547, 1.4964658034246607, 1.9572343801443646, 1.4963471924096918, 0.02496787088589872"
-6.0,-3.183673469387755,"0.013311559280544318, 0.4638638491824857, 0.045654453089458036, 0.4638560252533833, 0.013314113194128625","0.026589858635770215, 1.4967580643765848, 1.9532849037005677, 1.4967726692388945, 0.026594504048184482"
-6.0,-3.020408163265306,"0.014500070356072073, 0.46049185001438764, 0.05000789853113907, 0.460504418229703, 0.014495762868698206","0.028392613113944858, 1.4972184573285285, 1.9488108913982494, 1.497194186789561, 0.028383851369715607"
-6.0,-2.857142857142857,"0.015798720779727174, 0.4567451291143918, 0.05494213487862909, 0.4566661250826811, 0.015847890144571067","0.030304930251922567, 1.4976563920970993, 1.9437359836550474, 1.4978883836006125, 0.030414310395318535"
-6.0,-2.693877551020408,"0.030726135080184964, 0.4327333508879942, 0.09134589517616976, 0.3945130022918817, 0.050681616563769065","0.07771293260217385, 1.4029127641316521, 1.902054237573993, 1.4980343668984029, 0.11928569879377623"
-6.0,-2.5306122448979593,"0.019207915327377374, 0.44725118691575694, 0.06708185123354726, 0.4472515747039588, 0.01920747181935975","0.0353405814679425, 1.4990570382132062, 1.9312068779429654, 1.4990559489181807, 0.03533955345770367"
-6.0,-2.36734693877551,"0.021288209399459856, 0.4414556594847131, 0.07451488856365229, 0.44144728654783505, 0.021293956004339573","0.038354390055479894, 1.499872077699043, 1.9235092344417857, 1.4998969857198112, 0.03836731208387895"
-6.0,-2.204081632653061,"0.023723382189695965, 0.4347166204620635, 0.08293358809665585, 0.435252537629197, 0.02337387162238757","0.041895750308544435, 1.5021575923619874, 1.914838393780026, 1.500249291610638, 0.04085897193880516"
-6.0,-2.0408163265306123,"0.026542118244570756, 0.426982656137581, 0.09294969006930442, 0.42698632909004697, 0.02653920645849616","0.045929732873565846, 1.501925114408809, 1.9043121255908564, 1.5019110306578245, 0.045921996468941885"
-6.0,-1.8775510204081634,"0.02985063354753762, 0.41797130041960173, 0.1043559419564084, 0.4179726278372097, 0.029849496239242344","0.050707711086067926, 1.5031256654598217, 1.8923408827095298, 1.5031210272438944, 0.050704713500686095"
-6.0,-1.7142857142857142,"0.033739644533743146, 0.4074925010857845, 0.11753608008653682, 0.4074849288408463, 0.033746845453089085","0.05638762875120504, 1.5043919771636545, 1.8783929119739777, 1.5044213077865263, 0.056406174324634704"
-6.0,-1.5510204081632653,"0.038318215389288604, 0.39531517179426856, 0.1327332302184372, 0.39531537051988896, 0.03831801207811679","0.06321477650378793, 1.5057221210438252, 1.862127717586121, 1.505721231756468, 0.0632141531097977"
-6.0,-1.3877551020408163,"0.043714042033061735, 0.38118715835720784, 0.1501976007452438, 0.38118717933640145, 0.04371401952808558","0.07154398334349887, 1.506902027564264, 1.8431081120467891, 1.5069019561421035, 0.07154392090334531"
-6.0,-1.2244897959183674,"0.05008150372201524, 0.3648501749045706, 0.17013667758806517, 0.36485040888248743, 0.050081234902861524","0.08194298561992595, 1.5076603513485938, 1.8207951304338947, 1.507659419053665, 0.08194211354392043"
-6.0,-1.0612244897959184,"0.05760949933299847, 0.34605360747356084, 0.1926736735381842, 0.34605352040356885, 0.057609699251687414","0.0953917711320412, 1.5074066201099812, 1.7944010134164912, 1.5074078589487399, 0.09539273639274465"
-6.0,-0.8979591836734694,"0.06655703216249528, 0.32456336894182325, 0.21776097427245167, 0.32456794899146324, 0.06655067563176612","0.11382375351251278, 1.5049416050252102, 1.7625296344949075, 1.5049132826744127, 0.11379172429295623"
-6.0,-0.7346938775510204,"0.07733456791244309, 0.3001604105275969, 0.2450100402300852, 0.30016041029180995, 0.07733457103806513","0.14155633855584965, 1.4974405917698905, 1.7220060982483385, 1.497440615424447, 0.14155635600147398"
-6.0,-0.5714285714285714,"0.09075281134605731, 0.27265598774042044, 0.2731823915692996, 0.2726559797371765, 0.09075282960704571","0.18989261964696366, 1.4779760077044508, 1.664262501637177, 1.4779761141808665, 0.18989275683053908"
-6.0,-0.40816326530612246,"0.10841406870204758, 0.2423824141703178, 0.29840703419352577, 0.24238241414841355, 0.10841406878569583","0.29132559590040313, 1.4269967066003617, 1.5633553935077624, 1.4269967071237635, 0.29132559686771053"
-6.0,-0.24489795918367346,"0.13114443150488028, 0.2135644677860532, 0.3105822246619425, 0.2135644809856132, 0.13114439506151118","0.5206743270702142, 1.2994514269533117, 1.3597493965847074, 1.299451349489253, 0.5206734999025149"
-6.0,-0.08163265306122448,"0.14902399094512203, 0.19663575175153125, 0.3086805147708703, 0.19663575184906973, 0.14902399068340677","0.8597921123181331, 1.0952180513006269, 1.0899796824318069, 1.0952180546809132, 0.8597920992685208"
-6.0,0.08163265306122448,"0.1549577563138157, 0.18697905555438998, 0.3161263758243582, 0.18697905557661737, 0.15495775673081907","1.1087886058964376, 0.9166982125748349, 0.9490263725038084, 0.9166982197793507, 1.108788589245571"
-6.0,0.24489795918367346,"0.15720005319755126, 0.17484682298287568, 0.335906247075896, 0.17484682305128846, 0.1572000536923882","1.2691125438602036, 0.7704224911438826, 0.9209299326274483, 0.7704224936412958, 1.2691125387271707"
-6.0,0.40816326530612246,"0.15917563531739254, 0.15879688303839912, 0.364054963164679, 0.15879688305474873, 0.1591756354247803","1.3934713757716717, 0.635916749758832, 0.9412237492078992, 0.6359167500868134, 1.3934713751747845"
-6.0,0.5714285714285714,"0.16101771613833638, 0.1401429022474741, 0.3976787632708599, 0.14014290224216305, 0.16101771610116655","1.496624373217764, 0.5128184428081028, 0.9811143678829226, 0.5128184427511406, 1.4966243733400708"
-6.0,0.7346938775510204,"0.16256974759562548, 0.12089177456909128, 0.433076953184888, 0.12089177484292571, 0.16256974980747008","1.579032486646056, 0.4073528065181441, 1.0272294166306069, 0.40735280892634795, 1.5790324812788459"
-6.0,0.8979591836734694,"0.16397601185576616, 0.102769726579615, 0.4665085506159551, 0.10276972457898685, 0.16397598636967603","1.6409052019156807, 0.3227439720363934, 1.0727016234801434, 0.3227439575308903, 1.6409052450368913"
-6.0,1.0612244897959184,"0.16549686385440632, 0.08674379437789155, 0.4955186482439172, 0.08674379751844506, 0.16549689600534","1.6851749064915793, 0.2576513547110654, 1.1143475118564043, 0.25765137240442487, 1.6851748545365266"
-6.0,1.2244897959183674,"0.16729107859592274, 0.07309876181583028, 0.5192201030492964, 0.07309877612096222, 0.1672912804179878","1.7160222954305346, 0.20843122928116434, 1.15109315513185, 0.20843129410720906, 1.716022026049241"
-6.0,1.3877551020408163,"0.16937615014405538, 0.06172000800191351, 0.5378067797020083, 0.06172006519886541, 0.1693769969531579","1.737312662549161, 0.17122439700910197, 1.1829267463503839, 0.17122462942488312, 1.737311564666471"
-6.0,1.5510204081632653,"0.17168315077426588, 0.052324755378124685, 0.5519797777694082, 0.0523250860486631, 0.17168723002953812","1.7520155829681383, 0.14284130408106022, 1.210290237571037, 0.1428423725614481, 1.7520105028183162"
