U,Omega_2rdm,Omega_1rdm,V,magnetization,charge_density,doublons
-6.0,"2.3030041396719594, 2.30304872910018, 2.3030542720013716, 2.3033937681415066, 2.3039627612678366, 2.3040886992431604, 2.3043773107269367, 2.304492990152949, 2.3045535789185583, 2.304554911379021, 8.62947893791975, 8.688089743138224, 8.689180808286402, 8.75701291256162, 8.788562765135138, 8.873308257687627, 10.025821989262104, 10.071542546322256, 10.105571784977345, 10.538423084565991, 10.778394898051404, 10.779513066240735, 10.818372520673945, 10.849232933235095, 10.851606062257838, 11.056065312683714, 11.07738596003119, 12.447026760433785, 12.452356320530766, 12.496039039967117, 12.523780609307815, 15.071572328209607, 15.86394455231457, 16.337837380419938, 17.064542229783644, 18.089220482339666, 18.34678401642544, 18.43410969986565, 19.877228531049912, 20.248526189268528, 20.940319669068824, 23.04496827634229, 23.164084910612402, 27.631021115928547, 27.631021115928547","1.6094399208417534, 1.6099013597726473, 1.6099051740920318, 1.610940094727157, 1.6112296429213664, 7.935889420795108, 8.094084065666836, 9.33021773442039, 9.845910862853712, 10.125226588416343",-4.0,"0.004589521067157077, 0.2378377756001266, 0.015145655588044593, 0.23783725866956568, 0.004589789075106335","0.020046252337963262, 1.4954334528081032, 1.9690370604668075, 1.4954359673155122, 0.020047267071616064","0.000341648107058673, 0.5044286022340758, 0.9690616491907186, 0.5044303598034134, 0.00034187627984847747"
-6.0,"2.3029794908886467, 2.3030255714885604, 2.3030617474105295, 2.3033776993709063, 2.304081401293764, 2.3042080126017126, 2.3044638389916896, 2.3046191450646796, 2.3046433131144255, 2.304645055202065, 8.586874127529992, 8.648214636187523, 8.649990165195723, 8.677193237103156, 8.71177745809502, 8.794990705146128, 10.103833023122466, 10.138400621524374, 10.181287152390299, 10.48934084464156, 10.736882635086507, 10.737947175527546, 10.771847076722084, 10.81820878262619, 10.827449059216367, 11.053028557124659, 11.070570195864502, 12.176034554560234, 12.180016966140597, 12.447563316609843, 12.480234588957767, 14.685286770038948, 15.603856891782614, 15.952265512538103, 16.759618261332047, 18.045793129988766, 18.367594414244312, 18.854007469976736, 19.63745815953965, 20.087623121580346, 20.65611635850578, 22.613041536637372, 22.934143351671135, 27.631021115928547, 27.631021115928547","1.6094404225365049, 1.6098759841637447, 1.6099160288074348, 1.6110589861449585, 1.6113161397519318, 7.89313479485307, 8.016618191568059, 9.407385440168547, 9.7967539840761, 10.078700524505683",-3.836734693877551,"0.00491216134409482, 0.23691193258900578, 0.016349695847804435, 0.23691641812703818, 0.004909792092056804","0.021107555428445984, 1.4956218355267363, 1.9665714326633368, 1.4956001781568422, 0.021098998224637476","0.00036636592448130407, 0.5052248031508971, 0.9666003586915016, 0.5052096424831797, 0.00036454038693621576"
-6.0,"2.30296168608142, 2.3030023976724148, 2.303077799400323, 2.3033674271762927, 2.3042191447642746, 2.3043468746101246, 2.3045741142312584, 2.304757661668187, 2.3047600443997807, 2.3047660653395314, 8.535292845620795, 8.59197595285659, 8.5976012024492, 8.60154517042481, 8.630532002124296, 8.711044541847581, 10.177515140312195, 10.195141445135924, 10.246265421251252, 10.433790427812097, 10.68808927697204, 10.689104770600828, 10.71581568059287, 10.78158452728283, 10.806664850582564, 11.023139167018165, 11.089502362179392, 11.916345710055657, 11.919368775385045, 12.396391964726462, 12.436246297294984, 14.29917011003608, 15.344574620429418, 15.530689334079318, 16.45670489507147, 17.98587377257181, 18.395579781552136, 19.371034510837543, 19.685986451517874, 19.902527680951604, 20.39111849714152, 22.18333852956163, 22.710308129411654, 27.631021115928547, 27.631021115928547","1.6094411757138614, 1.6098520721950274, 1.6099331971198139, 1.6111971924371922, 1.611426566328848, 7.841332099770657, 7.933203109839734, 9.479811792301025, 9.74067895801364, 10.022667052020246",-3.673469387755102,"0.005270147540638662, 0.23588361228135424, 0.01769657159769772, 0.2358747509999647, 0.005274917580344695","0.022262928686508615, 1.4958004236151663, 1.9638112501032072, 1.4958446749265184, 0.022280722668600105","0.00039177995447888035, 0.506101158224519, 0.963845594733185, 0.5061320327023112, 0.00039565484361005904"
-6.0,"2.302950342754648, 2.3029846190125505, 2.3030944397231154, 2.3033625938678863, 2.304376333342984, 2.304505615862267, 2.3047092205795, 2.304896596661852, 2.304899959251587, 2.304932906724568, 8.475877029415493, 8.502697896623319, 8.530386226017049, 8.544900057783538, 8.55331415127151, 8.622782175529109, 10.241457442924592, 10.246692187296308, 10.291918030020886, 10.377361512487854, 10.636907212897805, 10.63795837525764, 10.654563642629109, 10.744668339363887, 10.80340179510756, 10.9918325080241, 11.113856952029284, 11.669830958791346, 11.6721228037294, 12.340341895454008, 12.39050675452511, 13.9247076197928, 15.076840384018434, 15.082526486373958, 16.160395542343014, 17.898606609727853, 18.462410002762685, 19.090803172135278, 19.691983098852432, 20.14438440864739, 21.70033551617241, 21.80060822334985, 22.787165555712363, 27.631021115928547, 27.631021115928547","1.6094423022068773, 1.609833183867685, 1.6099507990738373, 1.6113549369349978, 1.6115621124708048, 7.781616301886685, 7.845410516588259, 9.54708084036006, 9.68169434175841, 9.96138398662249",-3.510204081632653,"0.005678675513146679, 0.23471784844063004, 0.019207290123917364, 0.23471703558907558, 0.005679150333230626","0.023562217593494333, 1.4960776917040417, 1.9607142540895879, 1.4960818707633043, 0.02356396584957372","0.00042581662485921854, 0.5071445491053476, 0.9607552861270423, 0.5071474210753135, 0.00042619558643860404"
-6.0,"2.302947734080083, 2.302975032543494, 2.3031125959079644, 2.3033661267690224, 2.3045556688301616, 2.304687567822088, 2.304874704656505, 2.3050658635749603, 2.3050707449785026, 2.305123553590734, 8.406966597491168, 8.410459044032379, 8.442838871999237, 8.479138164240013, 8.482860942829006, 8.530168883263789, 10.27118255974437, 10.29352218930465, 10.30345536644632, 10.332835883206707, 10.581893323271526, 10.583245190532327, 10.587085941403714, 10.706577068970503, 10.822895443228688, 10.959616219087804, 11.129694830429624, 11.435324746958015, 11.437119593728136, 12.277148284965243, 12.342329187912055, 13.576010567136775, 14.595837673274675, 14.821023581867415, 15.866004296268688, 17.784890439559252, 18.53291589722596, 18.77789929455448, 19.463205121001707, 19.90736235617048, 19.94058098100573, 21.40489350744156, 22.93731358880025, 26.86922555714831, 27.631021115928547","1.609444006116549, 1.6098219146000456, 1.609969179774857, 1.6115353488687314, 1.6117285305665134, 7.713297662384942, 7.753159020338808, 9.600895252303353, 9.6183608143647, 9.893882734333822",-3.3469387755102042,"0.006137457806429646, 0.23340878232757895, 0.020907526572958635, 0.23340876369600055, 0.006137469597032673","0.024996301292016316, 1.4963905504071393, 1.957226177028136, 1.4963906310805433, 0.02499634019216823","0.0004634207743600147, 0.5083264362304655, 0.9572756186559315, 0.5083264911197857, 0.00046342621897402047"
-6.0,"2.3029557910909544, 2.302977768060932, 2.303135446691446, 2.3033823666147297, 2.304762200859305, 2.3048989996972877, 2.30508009128635, 2.305275401242818, 2.3052825650803803, 2.305345717007066, 8.31064194321757, 8.330476918119379, 8.346041919040733, 8.402277421252029, 8.405014260369805, 8.432171228211656, 10.228755588471422, 10.288603839705154, 10.305803060583912, 10.335582600873547, 10.511516838830845, 10.52026886036321, 10.522908267290166, 10.665766666546709, 10.86237488270407, 10.924261227457515, 11.109110127196177, 11.21191570274363, 11.213382426176329, 12.203617900768098, 12.289572146065282, 13.27398415422695, 14.099393220928723, 14.557561346250022, 15.573887893924342, 17.642325737008147, 18.027270779434, 18.446767192741472, 18.613689427150707, 19.214173430427994, 19.669979119873208, 21.016579778099533, 22.522323956222685, 25.621758610447394, 26.212386712049252","1.609446530115921, 1.6098221520912115, 1.609989117913013, 1.6117444721805487, 1.611935610445651, 7.634659309946734, 7.655354550705873, 9.548932220713677, 9.628357491889018, 9.818294153121055",-3.183673469387755,"0.006657601924641638, 0.2319284740714329, 0.02282796480138216, 0.23192813893904823, 0.006657820263495011","0.026596566576379144, 1.496760673283132, 1.9532829303911083, 1.4967624871105976, 0.026597342638781895","0.0005075565338693776, 0.509682378966631, 0.9533430573150324, 0.5096836039071139, 0.000507715514427874"
-6.0,"2.3029723702931726, 2.3029973831579627, 2.303169807612012, 2.303416017933072, 2.304999855167909, 2.305145486561102, 2.3053348020351816, 2.305534791831703, 2.305545273749031, 2.305606469189231, 8.20701809211144, 8.241953132467899, 8.242760344796144, 8.313525648212863, 8.316068339531828, 8.3286626763741, 10.152916130487023, 10.242571711592428, 10.294264528435995, 10.331576998237104, 10.427700784053233, 10.449158537722516, 10.456291837370905, 10.622241523428588, 10.885601755981916, 10.908159633441235, 10.999209068528648, 11.000504198263366, 11.019810429894862, 12.116885980914937, 12.22971957114411, 13.02597478772204, 13.618817519627973, 14.290905714669384, 15.283795717381711, 16.787564034028065, 17.47380756307429, 18.10709549695675, 18.68657857441353, 18.944225802246383, 19.4158053350417, 20.632380044957845, 22.282952581935316, 24.27748194050094, 24.43789093167213","1.609450163733054, 1.60983816588933, 1.6100108158676274, 1.6119876083995321, 1.612193073642527, 7.545108555403805, 7.551845258669764, 9.472678563762775, 9.616290272724106, 9.734474735967233",-3.020408163265306,"0.007250161994480927, 0.2302475000981628, 0.025004623335656506, 0.2302476254056216, 0.00725008916607801","0.028392856814561065, 1.4972031641907053, 1.9488089377319846, 1.497202474658014, 0.02839256660473464","0.000560305161875878, 0.5112453616754323, 0.9488827858473737, 0.511244891084613, 0.0005602329471240281"
-6.0,"2.3029905258468353, 2.30304039785568, 2.303229410286068, 2.3034745163316184, 2.305273915557054, 2.3054351665055384, 2.305652336897316, 2.3058581221041923, 2.3058732366890036, 2.305916989402989, 8.09745248961321, 8.132753646768462, 8.141942626213764, 8.21176781670743, 8.214493014114865, 8.219106878450617, 10.065459559334807, 10.154509259035986, 10.278772486313906, 10.279592224510619, 10.334698616275572, 10.363848487305507, 10.381471243303638, 10.574929765433051, 10.796182721379695, 10.797478832218061, 10.830819954710565, 10.842338692327944, 10.954476481907726, 12.014859240175289, 12.159515134096864, 12.768574009953523, 13.241492963277024, 14.019698566724657, 14.995149862117128, 15.817738993508266, 17.28222130114583, 17.76589193579362, 18.651057948896955, 18.710749026242674, 19.12605493364319, 20.24671693075969, 21.971663115289296, 22.814665057423003, 23.08218826001265","1.6094552023763016, 1.6098761828276469, 1.6100351652563931, 1.6122726143948791, 1.6125147407181042, 7.441970074657078, 7.443682587414167, 9.387878636315323, 9.5514079112036, 9.641500304834247",-2.857142857142857,"0.007927887370820532, 0.22833190221831717, 0.027480395833126614, 0.22833196047020526, 0.00792785410753033","0.030419186795020398, 1.4977243108546774, 1.9437134783680787, 1.4977239690447814, 0.03041905493744218","0.0006238883809420226, 0.5130476885067966, 0.9438051804516787, 0.5130474543021432, 0.0006238526631843003"
-6.0,"2.303001079529728, 2.303115237583984, 2.3033286804859117, 2.3035706841798067, 2.3055895529759853, 2.305777456139991, 2.306048778681236, 2.30626258574316, 2.3062839601194964, 2.3062914768509124, 7.981495815412937, 8.01564499821908, 8.029928237276476, 8.096505948697004, 8.099766246006459, 8.103304017289544, 9.964771718233438, 10.033300440569763, 10.163946150019726, 10.23205971868246, 10.250467769458952, 10.269407828814463, 10.296633817680839, 10.523141728061377, 10.574487883221469, 10.601640047858451, 10.603159825913409, 10.79348337891857, 10.967272246178624, 11.89548936773665, 12.074966772053155, 12.406355594844548, 13.055640668569458, 13.742292075069729, 14.707433244134211, 14.99267286510384, 17.067069823119738, 17.4177102497317, 18.331222210585914, 18.62371524939564, 18.784144981544188, 19.851044876694083, 21.39903431174482, 21.445840569500074, 22.134009673989105","1.609461971263389, 1.6099443062537537, 1.6100632049926982, 1.6126085910031838, 1.612917385998912, 7.325318839884563, 7.329899893310938, 9.292937913195177, 9.426673891240382, 9.538934959121555",-2.693877551020408,"0.008706454872806094, 0.22614053787584698, 0.030306021721897836, 0.2261404978549192, 0.008706487674530163","0.03271857248531084, 1.4983369662433206, 1.9378885639466294, 1.4983371840565807, 0.032718713268160136","0.0007016893656019869, 0.5151310426260359, 0.938003813408258, 0.5151311792874737, 0.0007017191037218824"
-6.0,"2.3030012418880315, 2.30323407835524, 2.303471752735075, 2.3037315532166693, 2.3059545349338997, 2.306187003096803, 2.3065461510520984, 2.3067542650087676, 2.3067740543272146, 2.3068037716486085, 7.857829267436876, 7.8900841472997705, 7.9050355070007, 7.967008567571072, 7.9712906224137186, 7.980389931111098, 9.843697807153363, 9.874958567841992, 9.979951927466475, 10.117052998980714, 10.164990421400724, 10.197018467717, 10.207201830218738, 10.271711230989531, 10.412122583581743, 10.414176388243476, 10.46341397708037, 10.73521528351606, 10.943825385229374, 11.755019019351751, 11.971052948548708, 12.018392951737468, 12.95520807116043, 13.45673603439659, 14.260548089759881, 14.418836990988877, 16.819563934066036, 17.040032515820386, 17.980164137732483, 18.367628613881223, 18.382148424002263, 19.43148599391803, 20.288349846571027, 20.519690032942073, 21.528539795013543","1.6094709390406965, 1.61005424878879, 1.6100980568199161, 1.6130097243941262, 1.6134253376297838, 7.200661793483131, 7.202843795686013, 9.184097377688541, 9.242546018416167, 9.424056281586752",-2.5306122448979593,"0.009605102696231327, 0.22362402190281888, 0.03354206333937293, 0.22362276273488135, 0.009606049326695947","0.03534557129732324, 1.4990467764317073, 1.9312035462909165, 1.4990546295387974, 0.0353494764412602","0.0007988912301184104, 0.5175403864962496, 0.9313504178081137, 0.5175454936999031, 0.0007998504901599127"
