U,V,magnetization,charge_density,doublons
-6.0,-4.0,"-3.548367746991632e-7, 1.0463933342585996e-6, -2.1229577718551162e-6, 1.9171142187968115e-5, -1.76112881586565e-5, -1.2845281700952485e-7","0.02694986085955528, 1.9801706385316304, 1.9997170722254678, 1.972817512212183, 0.020239722795157386, 0.00010519337600615774","0.003664105773837272, 0.980324850888719, 0.9997177221163975, 0.976420426952527, 0.00016328976961608484, 1.9097979162895007e-8"
-6.0,-3.836734693877551,"6.524927909611067e-9, -1.0154195817513312e-9, 2.4843682666642053e-11, -1.0018472218487062e-8, 7.3592631459271085e-9, -2.8751429511225397e-9","0.02071636429341612, 1.9793968731407126, 1.999765937699322, 1.9789689381416742, 0.021037056184977178, 0.00011483053990009513","0.00017503517324132792, 0.9795696446962602, 0.999766015427309, 0.979150655909082, 0.0001824939976980558, 2.5014011496434597e-8"
-6.0,-3.673469387755102,"-5.6833669730485536e-8, 1.2821002653984337e-7, -1.1266241661811449e-8, -1.7473418101321414e-7, 9.690693976004833e-8, 1.7717126088129893e-8","0.021497015230785513, 1.9784281360592906, 1.999741409800904, 1.9781608890640943, 0.022044761210181542, 0.0001277886347454224","0.00021595433309512502, 0.9787390711358761, 0.9997416013311491, 0.978384340898382, 0.00032286217348337094, 5.588033584997516e-8"
-6.0,-3.510204081632653,"-3.211519730705881e-8, 6.798127316631764e-8, -2.657700670649632e-8, 1.556442169592387e-8, -2.0865941263888133e-8, -3.9875496070853754e-9","0.022251636157240174, 1.977129150304588, 1.9997118562319725, 1.9773759272293572, 0.023386036008236577, 0.0001453940686070478","0.00022549182018904418, 0.977723691957649, 0.9997121812898461, 0.977611321702164, 0.0006095095103814266, 1.2776017267135605e-7"
-6.0,-3.3469387755102042,"-3.977098873928636e-8, 5.830088983804771e-8, -2.4894855621404588e-8, 1.6473171937647635e-8, -1.063697403335534e-8, 5.287566558507878e-10","0.023109990912222933, 1.9770414315479137, 1.9996943247266676, 1.9764837999033802, 0.023520365236986467, 0.00015008767282970135","0.00025879107787512743, 0.9772940459751054, 0.9996944969825088, 0.9767541595042806, 0.0002694605119903333, 5.586127348647953e-8"
-6.0,-3.183673469387755,"-3.046347460053389e-8, -4.494264876919729e-8, 3.266101550325473e-8, 4.94801503103659e-8, -6.691012425542875e-9, -4.4029922780929476e-11","0.02402109295132402, 1.9761460720809585, 1.9996639319779996, 1.9755337773465178, 0.024470073612225363, 0.00016505203097366765","0.0002994415955555721, 0.976437666177946, 0.9996641828886194, 0.9758473830965854, 0.0003122843556659711, 7.50906815604377e-8"
-6.0,-3.020408163265306,"5.3865382225806724e-8, -9.283939383930573e-8, 1.3017097399981026e-9, 3.42173521739042e-8, -9.332132566708395e-10, 4.388163012063293e-9","0.024983041674163816, 1.9751920875727509, 1.9996297868012889, 1.9745254867691406, 0.025487551345815217, 0.00018204583683986467","0.00034052318205834693, 0.975527687544108, 0.9996301074544545, 0.9748838101499606, 0.00036113234556676337, 1.0181766710126836e-7"
-6.0,-2.857142857142857,"-4.642755314668463e-6, 5.244336555132456e-6, 2.984655876059339e-6, -3.228246773900878e-6, -5.269428967648315e-7, 1.689525542162052e-7","0.029134784711462726, 1.974221481195506, 1.9995487205167346, 1.9703420459072645, 0.026552006081797933, 0.0002009615872323167","0.001972006773807595, 0.9746035066416687, 0.9995507793644209, 0.9722967558148154, 0.0004196559707255613, 1.5670508510756576e-7"
-6.0,-2.693877551020408,"-6.701378041894246e-9, 2.27103952865626e-8, 1.3068255949599816e-7, 2.4587136410181287e-7, -3.907570903585733e-7, -1.8058504990035949e-9","0.027152437681306638, 1.9730380626351685, 1.9995450873207226, 1.9722464634887116, 0.02779389174282271, 0.0002240571312646568","0.0004589267733658792, 0.9735006052842473, 0.9995456746071626, 0.972733145531739, 0.0005018673865387179, 1.965394532834726e-7"
-6.0,-2.5306122448979593,"2.209120711802945e-7, -2.81850815964102e-7, 1.0304059810950505e-7, 3.700455602495545e-7, -3.7827024080682586e-7, -3.387717287442048e-8","0.028477057739602803, 1.971831678013384, 1.9994922724881707, 1.9708437109070673, 0.02910518280991098, 0.0002500980418681189","0.0005891833114563017, 0.9723744213062178, 0.9994929606601568, 0.9714693798995069, 0.0005946053277486302, 2.766238501325871e-7"
